subject,predicate,object
New Hampshire Supreme Court,Court,State v. Collins
"Grimes, J.",Judge/Justice,State v. Collins
"Grant, J.",Judge/Justice,State v. Collins
"Loughlin, J.",Judge/Justice,State v. Collins
"Collins v. Hancock, 354 F. Supp. 1253 (D.N.H. 1973)",Precedent Cited,State v. Collins
"Breed v. Jones, 421 U.S. 519 (1975)",Precedent Cited,State v. Collins
"Gore v. United States, 357 U.S. 386 (1958)",Precedent Cited,State v. Collins
"People v. Eggleston, 255 Cal. App. 2d 337, 63 Cal. Rptr. 104 (1967)",Precedent Cited,State v. Collins
"Patterson v. United States, 183 F.2d 327 (4th Cir. 1950)",Precedent Cited,State v. Collins
"Mullican v. United States, 252 F.2d 398 (5th Cir. 1958)",Precedent Cited,State v. Collins
"Waller v. Florida, 397 U.S. 387 (1970)",Precedent Cited,State v. Collins
"United States v. Parish, 468 F.2d 1129 (D.C. Cir. 1972)",Precedent Cited,State v. Collins
ABA Standards Relating to Speedy Trial § 2.2 (Approved Draft 1967),Precedent Cited,State v. Collins
"State v. Hutton, 108 N.H. 279, 285, 235 A.2d 117, 121 (1967)",Precedent Cited,State v. Collins
"State v. Murray, 106 N.H. 71, 73, 205 A.2d 29, 30 (1964)",Precedent Cited,State v. Collins
"United States v. Marion, 404 U.S. 307 (1971)",Precedent Cited,State v. Collins
ABA Standards Relating to The Function of the Trial Judge § 1.1 (Approved Draft 1972),Precedent Cited,State v. Collins
